Long Name,Short Name,data_set,join_key,params,func,doc
Company Name,Name,companies,,,get_description_data,
Sector,Sector,"companies,industries",IndustryId,,get_description_data,
Industry,Industry,"companies,industries",IndustryId,,get_description_data,
Open,Open,shareprices-daily,,"start, end, adj",get_pricing_data,"start: Date, end: Date, adj: Str [y/n]"
Low,Low,shareprices-daily,,"start, end, adj",get_pricing_data,"start: Date, end: Date, adj: Str [y/n]"
High,High,shareprices-daily,,"start, end, adj",get_pricing_data,"start: Date, end: Date, adj: Str [y/n]"
Close,Close,shareprices-daily,,"start, end, adj",get_pricing_data,"start: Date, end: Date, adj: Str [y/n]"
Dividend,Dividend,shareprices-daily,,"start, end",get_market_data,
Volume,Volume,shareprices-daily,,"start, end",get_market_data,
Shares Outstanding,Sh Out,shareprices-daily,,"start, end",get_market_data,
Shares (Basic),Sh Basic,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Shares (Diluted),Sh Diluted,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
"Cash, Cash Equivalents & Short Term Investments",Cash,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Accounts & Notes Receivable,Accounts & Notes Receivable,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Inventories,Inventories,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Current Assets,Total Current Assets,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Property Plant & Equipment Net,Property Plant & Equipment Net,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Long Term Investments & Receivables,LT Investments & Receivables,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Other Long Term Assets,Other LT Assets,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Noncurrent Assets,Total Noncurrent Assets,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Assets,Total Assets,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Payables & Accruals,Payables & Accruals,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Short Term Debt,ST Debt,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Current Liabilities,Total Current Liabilities,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Long Term Debt,LT Debt,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Noncurrent Liabilities,Total Noncurrent Liabilities,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Total Liabilities,Total Liabilities,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
Share Capital & Additional Paid-In Capital,Sh Capital,balance-quarterly/balance-annual/balance-ttm,,"pt, offset_start, offset_end, y_start, y_end, q_start, q_end, as_of_date",get_fundamental_data,"pt: str [q/a/ttm],  offset: int, y: int, q: int [1/2/3/4], as_of_date: Date"
